Configure,Configure
Collapse,Collapse
"No active order in session.","No active order in session."
"Failed to pass the payment gateway url.","Failed to pass the payment gateway url."
"Unable to acquire lock, skipping.","Unable to acquire lock, skipping."
"Citadele order cannot be found in request","Citadele order cannot be found in request"
"Unrecognized error","Unrecognized error"
"Gateway system failed to process payment - %1","Gateway system failed to process payment - %1"
"Customer cancelled transaction","Customer cancelled transaction"
"Customer clicked browser ""back"" button and cancelled transaction","Customer clicked browser ""back"" button and cancelled transaction"
"Gateway order cannot be found in request","Gateway order cannot be found in request"
"Order was invoiced due to Webhook HTTP request with status %1","Order was invoiced due to Webhook HTTP request with status %1"
"There is no active quote to restore.","There is no active quote to restore."
"Shop authentication token/brand id of Citadele E-commerce Gateway are not set","Shop authentication token/brand id of Citadele E-commerce Gateway are not set"
"Payment for %1 not found","Payment for %1 not found"
"An invoice could not be created.","An invoice could not be created."
"Continue to payment","Continue to payment"
"Citadele E-commerce Gateway","Citadele E-commerce Gateway"
"Accept payments through Citadele E-commerce Gateway","Accept payments through Citadele E-commerce Gateway"
"Enable API","Enable API"
"Enable payment method selection","Enable payment method selection"
"Change payment method title","Change payment method title"
"Change payment method description","Change payment method description"
"Brand ID","Brand ID"
"Secret key","Secret key"
"Enable logging","Enable logging"
